algorithm,avg_precision,avg_recall,avg_f1,MAP
TF-IDF,0.9,0.043688657896335935,0.08134052184572096,0.04020298907366397
BM25,1.0,0.05288401423472078,0.09811846250341204,0.05288401423472078
